Species,Sample ID,Cell Density,Growth Rate,C,N,P,RNA,DNA,Protein,Total Chlorophylls,Total Carotenoids,Total Pigments,Carbohydrate,Total Lipid,Lipid - Pigment,Lipid P,Estimated Phospholipid,Estimate P Storage,RNA:C,DNA:C,Pro:C,Pigment:C,Carb:C,Lipid:C,RNA C fraction,DNA C fraction,Pro C fraction,Pigment C fraction,Carb C fraction,Lipid C fraction,RNA:N,DNA:N,Pro:N,Pigment:N,RNA N fraction,DNA N fraction,Pro N fraction,Pigment N fraction,RNA:P,DNA:P,Phospholipid:P,RNA P fraction,DNA P fraction,Phospholipid P fraction,Residual P fraction,C:N,C:P,N:P,MM C,MM N,MM P,MM C:N,%C Acc,%N Acc,%P Acc,Protein:RNA,RNA:DNA,Carb:Lipid
Thalassiosira pseudonana,160405_Tp_A,193516.6667,0.935507879,14.19212655,2.630103983,0.417713124,0.906964028,0.135624023,12.69150901,0.80243375,0.358663608,1.161097358,5.56666536,5.331934451,4.170837093,0.025517325,0.593426172,0.756749824,0.06390614,0.009556286,0.894264081,0.081812782,0.39223617,0.293883871,0.021728088,0.003440263,0.473959963,0.06241533,0.156894468,0.220412904,0.344839609,0.051566031,4.825478039,0.441464431,0.055588145,0.00868372,0.772076486,0.019683888,2.171260552,0.324682216,1.420654841,0.19758471,0.030844811,0.061088158,0.710482321,6.292772968,87.61833419,13.92364457,13.32429242,2.2514538,0.120935334,6.897963333,93.88510155,85.60322384,28.95176789,13.99339843,6.687340559,1.334663818
Thalassiosira pseudonana,160405_Tp_B,186433.3333,0.654394194,15.53406504,2.782079562,0.429821729,1.039035511,0.147376392,13.13646026,0.855796764,0.398674999,1.254471763,7.058612658,6.217187068,4.962715305,0.037412645,0.870061522,0.723800962,0.066887547,0.009487304,0.845655032,0.080756181,0.454395719,0.319473061,0.022741766,0.003415429,0.448197167,0.06166851,0.181758288,0.239604796,0.373474406,0.052973464,4.721813293,0.450911534,0.060204074,0.008920731,0.755490127,0.019846543,2.417363852,0.342877947,2.024238104,0.219980111,0.032573405,0.087042238,0.660404246,6.511530524,93.20139007,14.31328468,14.8720957,2.349359012,0.145965634,7.378406013,95.73859557,84.44614755,33.9595754,12.64293676,7.050216777,1.42232875
Thalassiosira pseudonana,160405_Tp_C,182466.6667,0.69937773,15.48083455,2.686122982,0.407235036,0.997672865,0.145382318,13.53621159,0.852710507,0.379256502,1.231967009,7.873599389,6.202876407,4.970909398,0.026273303,0.611007037,0.704692333,0.064445677,0.009391116,0.874385134,0.079580142,0.508603032,0.321100867,0.02191153,0.003380802,0.463424121,0.060699268,0.203441213,0.24082565,0.371417419,0.054123478,5.03931193,0.458641327,0.059872488,0.009114394,0.806289909,0.020500481,2.449869918,0.356998553,1.500379344,0.222938163,0.033914862,0.064516312,0.678630663,6.721032323,98.03358202,14.58608995,15.38303568,2.406167915,0.130872854,7.451708914,99.36825845,89.57772714,32.13693369,13.56778566,6.862408545,1.583935405
Thalassiosira pseudonana,160406_Tp_A,126366.6667,0.636718299,16.92335336,3.199042127,0.49829702,0.678681014,0.151472891,13.69288373,1.014875275,0.453618542,1.468493817,5.777019767,6.297810604,4.829316787,0.026865424,0.624777302,1.007923659,0.040103223,0.008950525,0.809111731,0.086773217,0.341363774,0.285364058,0.013635096,0.003222189,0.428829218,0.066199668,0.13654551,0.214023043,0.212151321,0.047349452,4.280307413,0.459041725,0.034198793,0.007973648,0.684849186,0.020467619,1.36200095,0.303981131,1.253825084,0.123942086,0.028878207,0.053914479,0.793265228,6.169272743,87.58379728,14.19677828,14.59562603,2.391249586,0.103015321,7.114388628,86.24547229,74.74892456,20.67347724,20.17572829,4.480544392,1.196239556
Thalassiosira pseudonana,160406_Tp_B,110783.3333,0.542396835,16.99387902,3.41649298,0.531660744,0.877501572,0.185689379,14.32350434,1.08236596,0.504222808,1.586588768,5.600210953,,,0.031439817,0.731158543,1.026910358,0.051636332,0.010926839,0.842862558,0.093362367,0.329542828,,0.017556353,0.003933662,0.446717156,0.071295076,0.131817131,,0.256842785,0.054350874,4.192458297,0.464391052,0.041403057,0.009152687,0.670793327,0.020439834,1.650491563,0.34926291,1.37523515,0.150194732,0.033179976,0.059135111,0.75749018,5.800687867,82.42967071,14.21032688,11.40832029,2.534316589,0.128932951,5.246873637,67.13193781,74.17889058,24.25098201,16.32305262,4.725642248,
Thalassiosira pseudonana,160406_Tp_C,110500,0.561342219,17.72974111,3.415256042,0.535220202,0.787039138,0.18013658,15.89994972,1.078462627,0.479663333,1.55812596,6.440388037,7.956259427,6.398133467,0.036014211,0.837539784,1.046658371,0.044390899,0.010160136,0.896795369,0.087882048,0.36325336,0.360870101,0.015092905,0.003657649,0.475301546,0.067031497,0.145301344,0.270652576,0.230448063,0.052744678,4.655565945,0.456225226,0.037148228,0.008882204,0.744890551,0.020392485,1.470495947,0.33656536,1.564850841,0.133815131,0.031973709,0.067288586,0.766922573,6.054058778,85.42707445,14.11071111,17.32262223,2.770843224,0.124747747,7.286877124,97.70375167,81.13134681,23.30774265,20.20223513,4.36912446,1.006604203
Thalassiosira pseudonana,160408_Tp_A,290062.5,0.283539262,21.1790957,1.572453393,0.412099591,0.364410005,0.225173656,8.951348821,0.406138154,0.229941727,0.636079881,30.84740157,11.34238311,10.70630323,0.024658,0.57344186,0.848828775,0.017206117,0.010631882,0.42265019,0.030033382,1.456502299,0.505512765,0.00585008,0.003827478,0.224004601,0.023042771,0.58260092,0.379134574,0.23174614,0.143198938,5.692600404,0.404514298,0.037357478,0.024114701,0.910816065,0.016666282,0.884276551,0.54640592,1.391512813,0.080469166,0.051908562,0.059835051,0.80778722,15.70714085,132.5350869,8.437887466,25.8058899,1.5550849,0.079210808,19.34213906,121.8460423,98.89545261,19.22127795,24.56394914,1.618350971,2.881237428
Thalassiosira pseudonana,160408_Tp_B,318750,0.292136423,20.12223632,1.404744365,0.379140089,0.375785266,0.249239532,7.5708061,0.438959617,0.254324739,0.693284357,30.77910234,9.568627451,8.875343094,0.025,0.581395349,0.755444499,0.018675124,0.012386274,0.376240791,0.034453643,1.529606444,0.441071407,0.006349542,0.004459059,0.199407619,0.026451109,0.611842577,0.330803556,0.267511495,0.177426967,5.389454684,0.493530619,0.043122853,0.029878701,0.862312749,0.020149291,0.991151493,0.657381107,1.533457856,0.090194786,0.062451205,0.065938688,0.781415321,16.704999,136.8680798,8.19324083,23.73042417,1.342182102,0.082874215,20.60790406,117.9313462,95.54635951,21.85846788,20.14662839,1.507727379,3.467933804
Thalassiosira pseudonana,160408_Tp_C,314287.5,0.254507001,19.33619835,1.45597151,0.394868638,0.381956427,0.248274548,7.96063799,0.401415682,0.228062013,0.629477695,21.07876501,9.959034324,9.329556629,0.027508773,0.639738914,0.787955234,0.01975344,0.012839884,0.411696128,0.032554367,1.090119404,0.482491773,0.006716169,0.004622358,0.218198948,0.024980741,0.436047762,0.36186883,0.262337844,0.17052157,5.467578133,0.432342041,0.04228886,0.028715832,0.874812501,0.017777964,0.967299984,0.628752259,1.620130981,0.088024299,0.059731465,0.069665632,0.782578605,15.48765703,126.2827666,8.153768279,20.35008819,1.402967098,0.08585289,16.90668944,105.2434808,96.35951587,21.74213954,20.84174378,1.53844375,2.259353349
Thalassiosira pseudonana,160412_Tp_A,364933.3333,0.000721853,25.76458562,1.119310906,0.403455248,0.251838491,0.281493827,6.343116957,0.225486722,0.208170708,0.433657431,31.36523821,13.94775301,13.51409558,0.026295855,0.611531506,0.83508844,0.009774599,0.01092561,0.246195186,0.016831531,1.217377942,0.52452214,0.003323364,0.00393322,0.130483449,0.013075045,0.486951177,0.393391605,0.224994226,0.251488505,5.666983964,0.387432507,0.036269069,0.042350664,0.906717434,0.013047443,0.624204277,0.697707684,1.515735658,0.056802589,0.06628223,0.065176633,0.811738548,26.84354902,164.6847672,6.134984873,26.56735494,1.117502783,0.075955071,27.71018788,103.1157859,99.83846104,18.82614525,25.18724172,0.894650139,2.320927658
Thalassiosira pseudonana,160412_Tp_B,307133.3333,-0.003109984,27.57707986,1.397576027,0.496641151,0.333208068,0.340912142,7.750383876,0.35688723,0.342468601,0.699355831,30.17535427,15.66095073,14.9615949,0.042504339,0.988473004,0.998097736,0.01208279,0.012362155,0.2810444,0.025360039,1.09421862,0.542537316,0.004108149,0.004450376,0.148953532,0.019717573,0.437687448,0.406902987,0.238418563,0.243931017,5.54559017,0.500406287,0.038433072,0.041077983,0.887294427,0.01657239,0.670923194,0.686435549,1.99031635,0.061054011,0.065211377,0.085583603,0.788151009,23.01125695,143.1961073,6.222872034,28.17881353,1.374345341,0.105212927,23.89827721,102.1820065,98.33778732,21.18489909,23.25989262,0.977401586,2.016854118
Thalassiosira pseudonana,160412_Tp_C,333200,-0.063234024,26.88109572,1.365017614,0.450096559,0.308017231,0.333225461,6.495653817,0.242666218,0.23052513,0.473191348,34.83037733,14.55582233,14.08263098,0.037385948,0.869440661,0.900172894,0.011458507,0.012396275,0.241643938,0.017603127,1.295720148,0.523886047,0.003895892,0.004462659,0.128071287,0.013683602,0.518288059,0.392914535,0.225650737,0.244118067,4.758659338,0.346655855,0.036374899,0.041109482,0.761385494,0.011528455,0.684335893,0.740342165,1.931675867,0.062274566,0.070332506,0.083062062,0.784330866,22.9655166,154.0163803,6.706419148,28.52933792,1.1608087,0.097071935,28.64644964,106.1316035,85.03983304,21.56691343,21.08860534,0.924350828,2.473286233
Thalassiosira pseudonana,160415_Tp_A,316200,-0.048428664,33.41314134,1.286005985,0.632809529,0.2389657,0.298754685,6.467559346,0.21410361,0.24260488,0.45670849,36.41034093,17.39360017,16.93689168,0.026158145,0.608328946,1.419072822,0.007151848,0.008941233,0.193563343,0.013668529,1.089701222,0.506893127,0.002431628,0.003218844,0.102588572,0.010671277,0.435880489,0.380169845,0.185820053,0.232312049,5.029182927,0.355137142,0.029954192,0.039121349,0.804669268,0.010854823,0.377626583,0.472108386,0.961314453,0.034364019,0.044850297,0.041336521,0.879449163,30.29994397,136.1663936,4.493948693,31.23997249,1.137600422,0.076285718,32.00815665,93.49606544,88.45996328,12.05508372,27.06480196,0.799872645,2.149765236
Thalassiosira pseudonana,160415_Tp_B,258900,-0.044473258,35.38463771,1.704864005,0.82778783,0.30573185,0.33658458,8.375974659,0.239028551,0.286694777,0.525723328,34.63124081,22.32972136,21.80399803,0.042602592,0.990757962,1.849657686,0.008640242,0.009512167,0.236712178,0.014857389,0.978708362,0.616199556,0.002937682,0.00342438,0.125457454,0.01161635,0.391483345,0.462149667,0.179329172,0.197426058,4.912986979,0.308366724,0.028907862,0.033246548,0.786077917,0.009149407,0.369336005,0.406607307,1.196874279,0.033609576,0.038627694,0.051465594,0.876297135,24.20429956,110.235469,4.554375502,35.28092103,1.461719258,0.102399726,28.13297829,99.70688781,85.73817345,12.37028646,27.39647393,0.908335878,1.58829774
Thalassiosira pseudonana,160415_Tp_C,312030,-0.070404133,32.1209693,1.359503586,0.707125021,0.302569874,0.340586475,6.888113282,0.220560646,0.260872607,0.481433253,36.80755866,17.51462311,17.03318986,0.052693732,1.225435622,1.516014183,0.009419699,0.010603244,0.214442884,0.01498813,1.145904357,0.530282561,0.003202698,0.003817168,0.113654728,0.011715438,0.458361743,0.397711921,0.222559085,0.250522675,5.066638553,0.354124298,0.035876524,0.042188018,0.810662169,0.010570361,0.427887382,0.481649588,1.732982975,0.038937752,0.045756711,0.074518268,0.840787269,27.55343777,117.1434675,4.251500975,31.75041202,1.222597594,0.112583305,30.26952419,98.84636957,89.92970721,15.92127306,22.76536388,0.888379006,2.160931626
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
